----------mesures----------
2784
temps,X,Y
23.708333,436.182012,219.806576
23.750000,427.834011,222.293821
23.791667,416.985118,225.304680
23.833333,404.080112,228.717605
23.875000,388.651328,232.385364
23.916667,371.735203,235.908641
23.958333,353.044500,238.833437
24.000000,334.332981,241.456738
24.041667,314.196647,243.414356
24.083333,294.079430,244.762789
24.125000,274.784093,245.182860
24.166667,256.187957,245.038078
24.208333,239.020562,244.002970
24.250000,222.494824,243.078675
24.291667,207.861553,241.329187
24.333333,194.482204,239.685189
24.375000,183.594514,237.938286
24.416667,174.994048,236.237637
24.458333,168.205486,235.097829
24.500000,163.716041,234.312628
24.541667,161.896387,233.910929
24.583333,162.419901,234.006995
24.625000,165.275490,234.481206
24.666667,170.536186,235.576742
24.708333,178.022986,237.023432
24.750000,188.204717,238.789497
24.791667,200.139117,240.356113
24.833333,214.165929,241.998894
24.875000,230.045615,243.261128
24.916667,247.278069,244.086064
24.958333,265.540043,244.340909
25.000000,284.585184,244.105038
25.041667,303.858520,243.089499
25.083333,323.985819,241.475704
25.125000,342.841123,239.319803
25.166667,361.261029,236.332181
25.208333,378.674960,233.369539
25.250000,394.061274,230.164998
25.291667,407.714878,227.046038
25.333333,419.226620,224.226426
25.375000,428.121412,221.729247
25.416667,434.522538,220.148772
25.458333,438.223941,218.974473
25.500000,439.067132,218.938494
25.541667,437.147373,219.559434
25.583333,432.696739,221.203476
25.625000,425.020710,223.372781
25.666667,415.385334,226.130763
25.708333,403.005449,229.345106
25.750000,388.563499,232.554896
25.791667,372.635292,235.678941
25.833333,355.106608,238.781296
25.875000,336.695495,241.192520
25.916667,318.030606,243.148687
25.958333,298.633392,244.467314
26.000000,279.713625,245.231345
26.041667,261.413043,245.198980
26.083333,244.077221,244.471298
26.125000,227.796021,243.463755
26.166667,212.903137,242.072361
26.208333,199.939573,240.462517
26.250000,188.766347,238.787380
26.291667,179.701587,237.168707
26.333333,172.652432,236.145239
26.375000,167.992473,235.103786
26.416667,165.509062,234.600816
26.458333,165.260382,234.602020
26.500000,167.436664,234.952052
26.541667,172.266667,235.959820
26.583333,178.803956,237.202267
26.625000,188.160777,238.699205
26.666667,199.255558,240.253577
26.708333,212.241220,241.691396
26.750000,227.334132,242.990416
26.791667,243.971965,243.870390
26.833333,261.666452,244.327323
26.875000,279.750957,244.062101
26.916667,298.952029,243.194421
26.958333,318.378215,241.977629
27.000000,336.649195,239.850598
27.041667,354.670759,237.373030
27.083333,371.658189,234.623398
27.125000,387.116204,231.742461
27.166667,400.816673,228.755698
27.208333,412.203868,226.106572
27.250000,421.542233,223.881473
27.291667,428.005842,221.993379
27.333333,432.316552,221.145935
27.375000,433.476755,220.623225
27.416667,432.206281,221.351914
27.458333,428.060868,222.467308
27.500000,421.375618,224.505838
27.541667,412.541625,227.026353
27.583333,401.025812,229.665457
27.625000,387.685101,232.864837
27.666667,372.687982,235.817538
27.708333,356.306239,238.708616
27.750000,338.662203,241.141901
27.791667,320.383275,243.085148
27.833333,302.312833,244.328597
27.875000,283.629770,245.096407
27.916667,266.018092,245.158365
27.958333,248.925085,244.653121
28.000000,232.835192,243.685409
28.041667,217.977319,242.518031
28.083333,204.919153,241.000228
28.125000,193.461241,239.514208
28.166667,184.400815,237.948822
28.208333,177.086680,236.784661
28.250000,172.033952,235.859439
28.291667,168.948873,235.255414
28.333333,168.472622,235.038129
28.375000,169.941228,235.467521
28.416667,173.890217,236.192342
28.458333,179.965676,237.298645
28.500000,188.630473,238.566112
28.541667,199.035529,240.009532
28.583333,211.556176,241.500322
28.625000,225.486144,242.583888
28.666667,241.383208,243.390527
28.708333,258.452798,243.962830
28.750000,276.380633,243.919304
28.791667,294.785519,243.335782
28.833333,313.109688,242.099153
28.875000,331.506277,240.259518
28.916667,349.390732,238.202550
28.958333,365.532339,235.570421
29.000000,381.004225,232.861396
29.041667,394.493280,230.219057
29.083333,405.932647,227.585380
29.125000,415.210340,225.593474
29.166667,421.963562,223.793843
29.208333,426.734296,222.730784
29.250000,428.316787,222.320500
29.291667,427.688077,222.837556
29.333333,424.211192,223.885307
29.375000,418.349197,225.670831
29.416667,409.978706,227.727641
29.458333,399.578634,230.341398
29.500000,387.175849,233.165079
29.541667,372.756712,235.911759
29.583333,356.997470,238.743887
29.625000,340.649056,240.992786
29.666667,323.211597,242.757897
29.708333,305.167105,244.340999
29.750000,287.821903,244.944027
29.791667,270.299866,245.260598
29.833333,253.761258,244.961756
29.875000,238.121923,244.170921
29.916667,223.662827,242.980352
29.958333,209.883405,241.748019
30.000000,198.936089,240.462511
30.041667,189.485284,238.882274
30.083333,181.940129,237.682395
30.125000,176.609620,236.557047
30.166667,173.275631,236.202144
30.208333,172.276851,235.915499
30.250000,173.320963,236.139607
30.291667,176.587284,236.901464
30.333333,182.308060,237.781447
30.375000,190.274392,238.905880
30.416667,199.990337,240.205927
30.458333,211.777754,241.393040
30.500000,225.226076,242.631770
30.541667,240.516219,243.448997
30.583333,256.822895,243.832416
30.625000,273.752294,243.943078
30.666667,291.547005,243.431156
30.708333,309.623995,242.403422
30.750000,327.391375,240.820560
30.791667,344.357359,238.734850
30.833333,360.868956,236.396180
30.875000,375.668562,234.042648
30.916667,388.987741,231.557074
30.958333,400.678244,229.189621
31.000000,410.142573,226.808709
31.041667,417.151270,225.428403
31.083333,421.723086,224.283015
31.125000,424.098497,224.033426
31.166667,423.913444,224.225606
31.208333,420.764308,224.995628
31.250000,415.758123,226.456077
31.291667,408.285948,228.424218
31.333333,398.293804,230.822117
31.375000,386.822638,233.452336
31.416667,373.208784,236.061823
31.458333,358.159840,238.609956
31.500000,342.437420,240.845142
31.541667,326.033788,242.762183
31.583333,308.494013,244.142608
31.625000,291.699253,244.947935
31.666667,274.600486,245.274514
31.708333,258.424505,245.149655
31.750000,242.812163,244.462298
31.791667,228.633506,243.481698
31.833333,215.615333,242.397257
31.875000,204.410366,240.868073
31.916667,194.774373,239.764157
31.958333,186.931156,238.580318
32.000000,181.220828,237.564509
32.041667,177.753805,236.996691
32.083333,176.344873,236.723264
32.125000,177.194023,236.884860
32.166667,179.745411,237.383934
32.208333,185.112062,238.056886
32.250000,192.318584,239.017915
32.291667,201.728795,240.365471
32.333333,212.766645,241.458200
32.375000,225.425491,242.515158
32.416667,240.237586,243.402183
32.458333,255.874815,243.671680
32.500000,272.361887,243.899323
32.541667,288.940761,243.439410
32.583333,306.543388,242.583884
32.625000,323.857406,241.206015
32.666667,340.378686,239.505186
32.708333,356.302160,237.302975
32.750000,371.105082,234.951407
32.791667,384.255323,232.578947
32.833333,395.731673,230.516932
32.875000,404.824800,228.477400
32.916667,412.073465,226.848317
32.958333,416.914155,225.874306
33.000000,419.402863,225.377809
33.041667,419.529353,225.455920
33.083333,417.076002,226.235986
33.125000,412.665724,227.519693
33.166667,405.399756,229.345614
33.208333,396.697919,231.552854
33.250000,385.596919,233.786592
33.291667,372.802011,236.367065
33.333333,358.790199,238.801655
33.375000,343.911954,240.874250
33.416667,327.821714,242.868120
33.458333,311.140469,243.937690
33.500000,294.467802,245.054792
33.541667,278.074082,245.327105
33.583333,262.110940,245.234206
33.625000,247.344449,244.678156
33.666667,232.995720,243.735977
33.708333,220.226428,242.753415
33.750000,208.822555,241.541508
33.791667,198.834663,240.402039
33.833333,191.358782,239.127979
33.875000,185.358284,238.245130
33.916667,181.487826,237.509542
33.958333,179.457918,237.354447
34.000000,179.786517,237.372515
34.041667,182.409366,237.723997
34.083333,186.995540,238.222387
34.125000,193.666595,239.277338
34.166667,202.313881,240.333405
34.208333,213.060093,241.319721
34.250000,225.243289,242.360886
